City,Cloudiness_%,Country,Date,Humidity_%,Lat,Lng,Max Temp_F,Wind Speed_mph
xambioa,20.0,GH,1573954783.0,83.0,5.79,0.9,82.4,4.7
springfield,66.0,BR,1573954783.0,53.0,-21.48,-56.15,67.71,3.51
ewing,40.0,BR,1573954783.0,73.0,-16.02,-48.01,73.4,10.29
pijijiapan,32.0,RU,1573954783.0,41.0,43.36,132.19,24.8,2.24
sokol,90.0,CA,1573954784.0,86.0,52.36,-106.96,34.0,9.17
mehamn,100.0,GB,1573954218.0,93.0,57.47,-1.78,41.0,1.12
chippewa falls,66.0,NO,1573954592.0,97.0,70.63,29.72,12.31,9.31
auki,4.0,CN,1573954784.0,56.0,19.23,109.45,79.05,2.89
faya,100.0,AU,1573954281.0,31.0,-17.52,146.03,89.01,4.0
krasnoselkup,20.0,SA,1573954784.0,77.0,26.33,43.97,60.8,5.82
riyadh,75.0,BG,1573954784.0,100.0,42.7,23.32,50.0,1.12
vila franca do campo,95.0,CD,1573954784.0,99.0,-1.93,18.29,70.23,3.36
meyungs,2.0,NA,1573954784.0,25.0,-18.06,13.84,65.12,6.2
kerekegyhaza,90.0,CA,1573954785.0,92.0,45.62,-61.36,30.99,18.34
sikandra,90.0,US,1573954785.0,77.0,64.86,-147.8,8.6,3.36
bilma,100.0,RU,1573954785.0,94.0,54.7,78.67,17.31,11.1
floro,20.0,DO,1573954761.0,83.0,18.48,-69.94,82.0,4.7
puerto madryn,1.0,AR,1573954785.0,27.0,-36.62,-64.29,67.62,6.89
ekhabi,24.0,RU,1573954785.0,96.0,64.9,45.76,21.11,5.35
tiksi,100.0,RU,1573954785.0,94.0,57.93,30.71,43.36,7.27
bilibino,100.0,BR,1573954343.0,89.0,-17.73,-39.27,73.45,4.92
boguchany,92.0,MK,1573954786.0,93.0,41.28,20.71,42.93,5.84
petapa,22.0,ML,1573954786.0,23.0,20.2,1.01,68.85,7.07
methoni,90.0,DE,1573954786.0,93.0,49.76,8.64,39.2,6.93
dwarka,100.0,PG,1573954786.0,75.0,-2.57,150.8,81.68,8.12
miri,9.0,ID,1573954786.0,49.0,-2.08,101.38,76.41,5.32
linqiong,0.0,AU,1573954786.0,10.0,-23.7,133.88,87.8,14.99
guerrero negro,0.0,ID,1573954786.0,45.0,-2.97,119.9,83.89,4.74
fort nelson,90.0,RU,1573954787.0,96.0,63.37,47.92,21.09,5.08
stettler,30.0,MG,1573954787.0,83.0,-14.9,50.28,78.84,5.59
huarmey,1.0,US,1573954613.0,49.0,40.83,-115.76,46.4,4.7
leningradskiy,40.0,IS,1573954787.0,80.0,63.84,-22.43,33.8,11.41
asau,75.0,CM,1573954787.0,94.0,4.04,9.71,78.8,2.24
monrovia,67.0,CN,1573954787.0,14.0,38.48,106.21,25.0,3.0
batticaloa,0.0,NO,1573954787.0,85.0,70.95,27.35,19.18,5.97
tadine,75.0,KR,1573954632.0,87.0,35.24,129.21,53.6,2.24
rurrenabaque,99.0,NZ,1573954788.0,33.0,-43.63,171.65,68.0,10.0
pinega,0.0,PY,1573954788.0,46.0,-23.49,-58.8,69.12,4.65
buluang,0.0,BR,1573954788.0,53.0,-27.85,-53.78,71.6,11.41
jacareacanga,4.0,RU,1573954788.0,95.0,52.47,46.63,28.99,7.56
jiamusi,90.0,PE,1573954788.0,77.0,-7.84,-79.15,66.2,8.05
shellbrook,75.0,PF,1573954788.0,58.0,-17.83,-149.27,87.8,3.36
urumita,100.0,MV,1573954789.0,78.0,0.53,72.93,82.0,17.43
winder,75.0,AU,1573954789.0,64.0,-30.3,153.13,84.2,8.05
oxford,59.0,IR,1573954789.0,57.0,33.6,56.92,42.37,4.52
honningsvag,40.0,BE,1573954789.0,93.0,50.34,4.87,39.2,3.36
seddon,75.0,JP,1573954789.0,44.0,35.74,139.53,66.99,4.7
anloga,93.0,IR,1573954789.0,67.0,35.22,52.34,42.21,6.51
jardim,90.0,CA,1573954789.0,86.0,56.07,-118.38,36.0,6.93
santa maria,1.0,ZA,1573954789.0,80.0,-31.68,18.49,56.43,18.57
artyom,1.0,US,1573954789.0,77.0,34.64,-120.46,73.4,6.93
langham,2.0,ID,1573954790.0,46.0,-3.36,135.5,92.19,5.19
boddam,20.0,ID,1573954790.0,74.0,-8.65,115.22,84.2,4.7
batsfjord,100.0,UA,1573954790.0,70.0,48.37,23.97,43.16,1.03
baisha,100.0,CZ,1573954790.0,86.0,50.23,14.09,42.01,4.7
innisfail,50.0,SO,1573954790.0,78.0,9.49,50.81,79.81,23.24
buraydah,100.0,RU,1573954790.0,93.0,58.45,92.17,3.67,9.08
sofia,75.0,GB,1573954791.0,80.0,51.45,-2.43,43.0,1.12
inongo,0.0,CN,1573954791.0,87.0,29.96,122.3,68.5,16.08
opuwo,100.0,PL,1573954791.0,80.0,54.79,18.4,43.0,4.7
port hawkesbury,48.0,PG,1573954791.0,82.0,-9.47,147.16,80.26,18.95
college,88.0,GN,1573954791.0,49.0,10.62,-8.7,76.66,1.34
zdvinsk,100.0,GB,1573954791.0,100.0,54.08,-0.19,46.99,3.36
santo domingo,90.0,US,1573954529.0,32.0,38.9,-77.04,42.01,4.7
santa rosa,0.0,SO,1573954791.0,77.0,8.41,48.48,70.84,8.77
leshukonskoye,100.0,NZ,1573954791.0,93.0,-40.86,172.81,59.0,1.99
volot,44.0,BR,1573954591.0,88.0,-9.67,-35.74,75.2,6.93
caravelas,52.0,PT,1573954792.0,81.0,37.14,-8.45,51.01,8.05
poum,100.0,RU,1573954792.0,72.0,51.31,119.61,0.18,8.75
tessalit,100.0,RU,1573954792.0,75.0,53.19,107.35,7.2,9.91
seeheim-jugenheim,0.0,CL,1573954640.0,72.0,-27.37,-70.33,62.6,8.05
kavieng,0.0,CL,1573954793.0,86.0,-28.58,-70.76,54.84,2.33
dolbeau,100.0,RU,1573954793.0,92.0,58.97,126.27,-7.22,9.78
sungaipenuh,2.0,UG,1573954793.0,70.0,2.25,32.9,65.7,3.06
alice springs,100.0,US,1573954793.0,64.0,41.12,-100.77,48.0,8.01
sindand,96.0,MG,1573954793.0,82.0,-19.17,46.74,70.03,6.33
rantepao,0.0,IN,1573954793.0,51.0,27.02,75.0,70.29,7.9
blagoyevo,8.0,AO,1573954794.0,78.0,-15.19,12.15,70.23,11.54
quixada,0.0,BR,1573954794.0,57.0,-27.87,-55.13,71.01,1.99
antalaha,62.0,IN,1573954794.0,66.0,28.17,94.8,69.71,0.58
elko,100.0,ZM,1573954794.0,95.0,-10.39,28.7,65.84,3.29
grindavik,90.0,CA,1573954209.0,98.0,60.72,-135.06,33.8,3.06
douala,0.0,AR,1573954659.0,38.0,-31.54,-68.53,78.37,5.91
yinchuan,100.0,RU,1573954794.0,91.0,62.86,42.71,27.03,2.1
kjollefjord,100.0,RU,1573954795.0,92.0,57.02,82.07,14.13,10.45
kijang,40.0,CA,1573954795.0,63.0,47.66,-52.73,30.0,36.91
methven,40.0,GB,1573954795.0,100.0,53.41,-2.98,46.4,3.36
pozo colorado,0.0,KZ,1573954795.0,40.0,44.18,66.74,28.83,4.94
santo augusto,37.0,NG,1573954795.0,31.0,9.67,8.4,69.53,3.36
cozumel,3.0,ET,1573954795.0,68.0,9.35,42.8,55.0,4.83
baltay,41.0,RU,1573954795.0,86.0,54.17,103.03,-3.6,6.08
chicama,0.0,CN,1573954795.0,13.0,40.29,97.04,23.47,10.47
teahupoo,100.0,RU,1573954796.0,67.0,59.58,151.3,10.17,13.85
thinadhoo,100.0,PH,1573954796.0,70.0,11.14,123.72,83.3,2.8
coffs harbour,100.0,ZA,1573954412.0,93.0,-34.0,24.73,56.19,14.67
tabas,13.0,CV,1573954796.0,81.0,14.9,-24.5,72.68,14.41
hun,100.0,PE,1573954796.0,92.0,-10.92,-76.06,37.31,0.94
nishihara,0.0,PY,1573954796.0,53.0,-25.97,-55.19,73.4,8.05
garmsar,75.0,US,1573954796.0,66.0,33.19,-82.53,50.0,6.93
fairview,100.0,RU,1573954796.0,93.0,57.34,58.22,30.09,10.42
vredendal,90.0,US,1573954532.0,77.0,64.84,-147.72,8.6,3.36
lompoc,0.0,BR,1573954797.0,82.0,-30.08,-51.02,66.99,9.17
nabire,20.0,IN,1573954797.0,88.0,17.65,83.27,75.2,2.24
denpasar,30.0,AU,1573954797.0,29.0,-27.18,151.26,95.0,16.11
lopukhiv,100.0,PG,1573954797.0,74.0,-3.15,142.36,82.74,1.1
slany,47.0,AR,1573954797.0,35.0,-51.62,-69.22,55.4,24.16
korla,100.0,RU,1573954797.0,93.0,54.17,74.7,23.16,11.9
bandarbeyla,5.0,CA,1573954607.0,62.0,44.65,-63.58,26.01,13.87
yeniseysk,1.0,US,1573954797.0,40.0,35.94,-95.88,53.6,8.05
wick,91.0,NO,1573954798.0,93.0,59.79,5.78,39.99,3.36
shenjiamen,0.0,UZ,1573954798.0,59.0,40.56,65.69,35.6,6.93
wladyslawowo,31.0,NO,1573954344.0,69.0,62.91,6.91,35.6,2.24
port moresby,0.0,TR,1573954798.0,71.0,36.95,36.2,57.99,6.93
mandiana,36.0,BR,1573954798.0,87.0,-2.9,-40.84,74.44,4.59
bridlington,0.0,AU,1573954798.0,64.0,-31.65,116.67,75.2,3.36
washington,100.0,RU,1573954798.0,64.0,56.15,96.92,0.55,7.02
garowe,48.0,MX,1573954798.0,81.0,18.62,-100.35,72.34,2.39
takaka,1.0,SV,1573954799.0,73.0,13.7,-89.19,78.8,6.93
maceio,97.0,RU,1573954799.0,94.0,61.81,36.54,31.71,4.5
lagoa,1.0,US,1573954799.0,66.0,30.3,-99.24,55.99,10.85
nerchinskiy zavod,0.0,IQ,1573954799.0,36.0,33.64,42.83,56.1,12.15
khuzhir,1.0,US,1573954799.0,32.0,42.24,-71.99,28.0,5.82
copiapo,88.0,NI,1573954530.0,93.0,12.92,-85.84,66.15,4.07
gazni,0.0,AU,1573954800.0,19.0,-33.86,121.89,95.0,13.87
vallenar,0.0,UY,1573954800.0,70.0,-33.53,-58.22,70.0,1.99
tommot,0.0,FO,1573954800.0,80.0,62.16,-7.17,39.2,4.7
lira,53.0,PE,1573954800.0,88.0,-3.75,-73.25,75.2,3.36
kyra,20.0,IN,1573954800.0,70.0,10.57,72.64,83.08,3.74
north platte,80.0,CN,1573954800.0,65.0,30.39,111.44,60.01,1.59
soavinandriana,100.0,RU,1573954800.0,76.0,53.86,120.88,-0.27,7.45
nawa,10.0,NZ,1573954800.0,91.0,-35.1,173.78,71.01,5.01
ruatoria,71.0,RU,1573954800.0,97.0,61.68,96.39,-25.17,2.71
namibe,3.0,ID,1573954801.0,43.0,-2.54,115.51,94.66,2.68
san javier,75.0,JP,1573954801.0,51.0,31.65,131.31,62.6,6.93
along,75.0,IE,1573954801.0,93.0,53.34,-7.05,37.99,8.05
mwense,23.0,MR,1573954801.0,68.0,20.93,-17.03,66.2,9.17
whitehorse,22.0,ET,1573954801.0,75.0,8.9,40.78,55.11,3.8
kemijarvi,84.0,NA,1573954801.0,37.0,-22.57,17.08,71.6,4.7
san juan,100.0,SE,1573954802.0,91.0,67.86,20.23,3.2,1.72
temaraia,100.0,RU,1573954802.0,95.0,59.29,32.45,34.68,6.33
bereznik,0.0,KZ,1573954802.0,74.0,43.35,52.85,33.48,6.64
bakchar,100.0,RU,1573954802.0,61.0,50.52,115.13,4.95,17.72
torbay,100.0,PG,1573954802.0,91.0,-10.62,150.67,78.21,6.91
liverpool,20.0,ID,1573954802.0,62.0,-5.32,119.37,89.6,3.36
shieli,0.0,MA,1573954802.0,86.0,34.03,-5.02,39.2,8.05
matagami,75.0,AR,1573954803.0,83.0,-41.13,-71.31,50.0,29.97
jijiga,5.0,RU,1573954803.0,81.0,64.92,77.78,-14.01,16.8
ust-uda,78.0,NE,1573954803.0,17.0,13.05,3.19,84.4,6.17
yumen,75.0,AU,1573954803.0,61.0,-27.08,153.16,93.99,14.99
ola,95.0,NA,1573954803.0,94.0,-22.12,14.28,61.0,5.01
gogrial,0.0,DZ,1573954468.0,37.0,27.87,-0.29,50.0,8.05
sulangan,83.0,NO,1573954803.0,80.0,61.77,5.3,33.8,4.7
kruisfontein,25.0,RU,1573954803.0,96.0,64.27,100.22,-30.87,2.04
sao filipe,90.0,US,1573954803.0,90.0,34.88,-76.9,55.4,19.46
carhuamayo,100.0,AR,1573954513.0,60.0,-24.79,-65.41,80.6,2.37
naranjal,20.0,LK,1573954804.0,100.0,6.12,81.12,73.4,1.12
avera,100.0,PK,1573954804.0,50.0,27.06,68.21,70.25,7.27
shamary,0.0,CA,1573954804.0,64.0,44.38,-64.32,26.01,4.0
fairbanks,40.0,AU,1573954804.0,58.0,-12.18,136.78,87.8,11.41
viamao,98.0,RU,1573954804.0,92.0,65.01,53.91,26.26,9.55
yarada,100.0,RU,1573954804.0,93.0,58.36,82.83,12.63,10.78
dalby,80.0,PE,1573954805.0,95.0,-13.65,-73.37,48.78,2.77
aitape,100.0,CN,1573954805.0,82.0,49.64,117.33,4.03,15.66
rio gallegos,100.0,GW,1573954805.0,67.0,11.28,-15.83,82.76,6.44
novovarshavka,40.0,IT,1573954805.0,93.0,45.88,10.89,51.01,10.29
halifax,26.0,BF,1573954805.0,30.0,10.33,-3.18,78.8,1.72
bixby,85.0,CD,1573954805.0,75.0,1.56,30.43,69.89,3.0
gravdal,75.0,US,1573954805.0,83.0,21.35,-158.09,86.0,4.9
nurota,40.0,IN,1573954737.0,100.0,8.88,76.6,77.0,3.36
bud,1.0,US,1573954806.0,74.0,21.39,-157.74,86.0,8.05
erzin,75.0,HR,1573954806.0,63.0,42.71,18.35,64.4,13.87
camocim,79.0,BR,1573954806.0,93.0,-1.68,-50.48,75.16,4.34
northam,95.0,SN,1573954806.0,59.0,12.89,-14.94,75.81,4.68
tinskoy,48.0,IS,1573954806.0,60.0,63.44,-20.27,40.33,19.15
coahuayana,100.0,MZ,1573954806.0,86.0,-13.3,35.25,69.33,1.97
san salvador,100.0,CN,1573954806.0,73.0,34.57,105.89,32.5,18.43
pudozh,90.0,CA,1573954343.0,93.0,50.7,-127.42,50.0,17.22
harper,63.0,AU,1573954807.0,60.0,-38.11,147.06,64.0,8.99
hit,90.0,ES,1573954807.0,93.0,43.21,-8.69,55.0,13.87
tsihombe,75.0,ES,1573954807.0,68.0,28.68,-17.76,64.4,12.75
spencer,0.0,AR,1573954691.0,88.0,-34.61,-58.44,72.0,3.36
san ramon,0.0,EG,1573954807.0,81.0,29.97,32.54,63.16,6.49
kuche,100.0,RU,1573954807.0,98.0,66.77,123.37,-6.54,6.62
esperance,0.0,IN,1573954807.0,35.0,30.78,78.62,30.31,7.76
dolores,67.0,KZ,1573954807.0,31.0,45.41,79.91,25.3,1.45
vestmanna,100.0,CN,1573954808.0,56.0,42.67,125.53,31.75,4.36
iquitos,0.0,LY,1573954650.0,44.0,32.38,15.09,68.31,14.76
kavaratti,75.0,PE,1573954711.0,88.0,-12.06,-77.04,66.2,11.41
yidu,40.0,JP,1573954808.0,66.0,36.66,137.31,60.01,3.36
amazar,87.0,NC,1573954808.0,75.0,-21.35,165.16,74.86,15.77
kaeo,75.0,JP,1573954808.0,100.0,24.34,124.16,73.4,13.87
